Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	24.916666666666668	15.074583322176425	68.0	10.0	24.916666666666668	0.11607584635416666	0.016389455222009	0.14389206	0.04078509	600	7.489951133728027	357.3794250488281	0.0	-176.52719116210938	0.6891390085220337	3.9736430812453705e-10	2.5207786560058594
1	25.695652173913043	13.066501525900446	65.0	11.0	25.695652173913043	7.908190104166667	0.19130921687462327	8.296033	7.151476	1200	3.7229785919189453	145.80677795410156	0.0	-47.53828430175781	0.6889244914054871	-2.38418573772492e-09	4.1135430335998535
2	23.375	10.427577618987067	55.0	10.0	23.375	11.5960400390625	2.6964075372188887	13.048492	-6.8328047	1800	1.4488275051116943	78.8224105834961	0.0	-8.433631896972656	0.6895388960838318	-3.3775966468141405e-09	5.443986892700195
3	21.77777777777778	9.818098374951816	52.0	10.0	21.77777777777778	12.333516438802084	4.034898623390886	14.9439535	-4.485074	2400	0.33388543128967285	50.59347915649414	0.0	-4.589023590087891	0.6904013752937317	-1.9868215961338365e-09	6.606878995895386
4	23.958333333333332	13.411684110154582	73.0	11.0	23.958333333333332	12.1493115234375	4.083282179739113	15.537538	-1.0172473	3000	1.4360424280166626	88.78071594238281	0.0	-11.510398864746094	0.6909704804420471	-6.95387525340152e-10	8.451491832733154
5	24.291666666666668	14.266742351961067	70.0	10.0	24.291666666666668	14.692467447916666	5.098666466791423	18.001326	-2.0846012	3600	0.3494167625904083	99.89300537109375	0.0	-2.3492889404296875	0.6898713111877441	1.7881394143159923e-09	10.144967794418335
6	22.923076923076923	8.76146736335156	46.0	9.0	22.923076923076923	15.631505533854167	4.408678962604615	17.794268	-2.5205407	4200	-1.2911384105682373	60.84427261352539	0.0	-10.776622772216797	0.6891499161720276	2.98023217215615e-10	11.518325328826904
7	24.5	10.128343069492331	54.0	10.0	24.5	13.479944661458333	3.371154493224465	15.1414585	1.2956747	4800	0.2494436651468277	65.10299682617188	0.0	-12.47824478149414	0.6885477304458618	1.4404456516459163e-09	12.795912027359009
8	21.77777777777778	9.214856169184085	41.0	10.0	21.77777777777778	11.940681966145833	3.559987692365195	15.506079	2.928882	5400	0.41704657673835754	46.37366485595703	0.0	-3.4890670776367188	0.6878874897956848	2.33451524778161e-09	14.333311319351196
9	23.47826086956522	13.554622599612827	58.0	10.0	23.47826086956522	12.218224283854166	4.314020338892134	16.318953	1.776113	6000	1.738494873046875	110.96958923339844	0.0	-23.980079650878906	0.6877985000610352	5.463759444879202e-10	15.98094630241394
10	25.347826086956523	13.255380015473701	72.0	11.0	25.347826086956523	15.39876953125	5.535595632848977	20.291965	1.1902169	6600	-0.2173355668783188	75.26074981689453	0.0	-13.898494720458984	0.6881451606750488	6.95387525340152e-10	17.54530096054077
11	26.08695652173913	11.12737746335391	60.0	14.0	26.08695652173913	14.608938802083333	6.015613906916179	21.185265	0.7897438	7200	-0.02503412961959839	52.88151168823242	0.0	-6.28094482421875	0.6863332390785217	1.9868215406226852e-10	19.122778177261353
12	31.823529411764707	13.491763725292467	56.0	11.0	31.823529411764707	15.553538411458334	6.315599486588743	21.250193	-0.26691845	7800	1.6617316007614136	98.54753112792969	0.0	-17.949264526367188	0.6871855854988098	1.9868215961338365e-09	20.643640756607056
13	23.92	10.99425275996509	53.0	10.0	23.92	16.430130208333335	7.871259859186034	24.51175	1.3296984	8400	-1.5178866386413574	51.261016845703125	0.0	-17.062774658203125	0.6849250793457031	-1.9371511061905267e-09	22.020474910736084
14	29.25	24.203047328797258	112.0	10.0	29.25	13.5519580078125	6.1935523850076	22.23393	0.6033328	9000	2.2329490184783936	226.438232421875	0.0	-60.80517578125	0.6842320561408997	1.5397867425548384e-09	23.37017822265625
15	25.043478260869566	11.91811974306008	65.0	13.0	25.043478260869566	17.753474934895834	9.187196707012065	27.38231	-0.033109114	9600	-1.8494421243667603	74.24725341796875	0.0	-18.033607482910156	0.6836965084075928	-3.47693762670076e-10	24.717142343521118
16	22.384615384615383	10.160545504347366	47.0	10.0	22.384615384615383	14.728352864583334	6.746682730393014	23.852549	2.0422094	10200	-1.1708077192306519	35.56532669067383	0.0	-6.571113586425781	0.6813125610351562	1.2417634698280722e-09	26.069527864456177
17	29.736842105263158	14.104280951524593	60.0	9.0	29.736842105263158	13.7527880859375	6.190562688984742	21.956732	0.33909652	10800	1.5151019096374512	74.69145965576172	0.0	-14.425819396972656	0.6805659532546997	2.98023217215615e-10	27.405954599380493
18	31.42105263157895	18.977315194249893	76.0	9.0	31.42105263157895	17.789791666666666	6.912720856176435	24.959824	2.0852323	11400	0.5266032814979553	89.34609985351562	0.0	-14.903778076171875	0.6798063516616821	5.463759444879202e-10	28.727967262268066
19	28.047619047619047	15.694937971810788	79.0	9.0	28.047619047619047	17.032081705729166	8.67875684142032	26.851694	-0.49169055	12000	-0.4608449339866638	90.49476623535156	0.0	-22.92431640625	0.6784090399742126	1.390775050680304e-09	30.05594563484192
20	29.5	11.337989239719713	59.0	11.0	29.5	16.868828125	8.10231408238309	26.445255	1.0380325	12600	-0.653735339641571	47.34574508666992	0.0	-11.763355255126953	0.6807729005813599	-7.947286162490741e-10	31.396364450454712
