Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	22.692307692307693	14.319887427333024	70.0	9.0	22.692307692307693	0.13802108764648438	0.16634396146915764	0.53702503	-0.304378	600	-10.23111343383789	321.11669921875	-0.08322429656982422	-157.88735961914062	0.6915020942687988	0.015122795477509499	0.24166667461395264	14.0	2.9261343479156494
1	26.863636363636363	11.72136902551858	69.0	11.0	26.863636363636363	7.850017903645833	0.2830176970179746	8.183618	6.2663484	1200	-5.337116241455078	142.86929321289062	-0.1489567756652832	-46.56035614013672	0.6869888305664062	0.012260192073881626	0.25833332538604736	79.0	5.2335145473480225
2	45.083333333333336	34.88423470178422	140.0	12.0	45.083333333333336	12.312742513020833	1.4625289348989534	13.300218	4.1680317	1800	-8.862607955932617	593.7744140625	-0.1893482208251953	-176.73779296875	0.6707163453102112	0.017620926722884178	0.14666667580604553	12.0	7.054046630859375
3	42.0	20.43752205362254	87.0	13.0	42.0	20.631487630208333	0.28254925188793484	20.792696	17.84881	2400	-2.806213140487671	220.5140380859375	-0.20852088928222656	-13.982513427734375	0.6590714454650879	0.016663052141666412	0.2900000214576721	15.0	8.543416738510132
4	79.85714285714286	50.95215608609148	169.0	20.0	79.85714285714286	21.474908854166667	3.2386709091558687	22.778645	-7.5323424	3000	-8.966757774353027	737.5745849609375	-0.2065134048461914	-210.7626953125	0.6381188631057739	0.015039574354887009	0.148333340883255	30.0	10.104248523712158
5	66.55555555555556	33.55629048444403	145.0	34.0	66.55555555555556	30.157884114583332	1.029618046627051	30.514305	19.379375	3600	-1.9005993604660034	365.6719665527344	-0.23716628551483154	-69.09902954101562	0.6063117384910583	0.018067492172122	0.09000000357627869	5.0	11.781272649765015
6	112.0	30.848014522818158	152.0	68.0	112.0	30.7153125	5.90665948756853	32.772427	-20.531069	4200	-6.975390911102295	508.4822998046875	-0.2341480255126953	-144.30868530273438	0.6022854447364807	0.011505075730383396	0.1550000011920929	79.0	13.762897968292236
7	190.66666666666666	7.760297599408171	200.0	181.0	190.66666666666666	31.247272135416665	10.181828367550201	38.13698	1.7997899	4800	-10.278615951538086	809.0216064453125	-0.027416229248046875	-384.6656494140625	0.5426263809204102	-0.0023977672681212425	0.004999999888241291	79.0	15.590555191040039
8	186.0	19.79898987322333	200.0	158.0	186.0	42.11671875	12.560997007934256	47.597664	1.8838837	5400	-6.64236307144165	487.5413513183594	-0.046142578125	-115.13534545898438	0.5541990995407104	0.007505550514906645	0.061666667461395264	79.0	17.29500126838684
9	182.66666666666666	12.918548512529297	200.0	169.0	182.66666666666666	40.473131510416664	16.051727905431243	52.911495	3.9618623	6000	-6.593379974365234	306.48345947265625	-0.09477663040161133	-144.44891357421875	0.5608784556388855	0.007288146298378706	0.15666666626930237	79.0	18.991973876953125
10	200.0	0.0	200.0	200.0	200.0	54.46594401041666	8.145510969750967	57.81043	19.414688	6600	-4.882993221282959	448.06512451171875	-0.0713796615600586	-74.76773071289062	0.4995064437389374	0.002559034153819084	0.05666666850447655	79.0	20.819615840911865
11	163.0	25.664502073226878	197.0	135.0	163.0	48.91770833333333	21.84228267603915	62.030235	-9.654657	7200	-3.043837308883667	113.87860870361328	-0.0434415340423584	-54.21190643310547	0.47306081652641296	-0.004945847205817699	0.07000000029802322	79.0	22.70657229423523
12	170.0	21.96967607104544	200.0	148.0	170.0	50.32524088541667	18.15982932303238	64.511635	5.151185	7800	-3.1375885009765625	83.75755310058594	-0.04692697525024414	-27.898399353027344	0.450070858001709	0.004274311009794474	0.10833333432674408	79.0	24.886745929718018
13	200.0	0.0	200.0	200.0	200.0	56.71807942708333	16.620542165495085	67.18279	3.6986997	8400	-1.6832404136657715	175.31741333007812	-0.03957676887512207	-71.22117614746094	0.42940521240234375	0.002915492746978998	0.05000000074505806	79.0	26.707395315170288
14	200.0	0.0	200.0	200.0	200.0	53.396656901041666	14.540354226829093	69.54194	14.582844	9000	-2.805105447769165	139.37554931640625	-0.01310873031616211	-62.330482482910156	0.4235851764678955	0.0030983462929725647	0.04333333298563957	79.0	28.867786407470703
15	200.0	0.0	200.0	200.0	200.0	54.363125	18.74931804315382	72.15224	20.927584	9600	-2.576368570327759	125.72891235351562	-0.028569459915161133	-35.421287536621094	0.42780742049217224	-0.0033540010917931795	0.01666666753590107	79.0	30.920300722122192
16	200.0	0.0	200.0	200.0	200.0	60.49418619791667	19.3431061416809	74.06118	12.399975	10200	-1.366740345954895	120.78977966308594	-0.05837666988372803	-37.81535339355469	0.4195463955402374	0.001789433998055756	0.07000000029802322	79.0	33.361775636672974
17	200.0	0.0	200.0	200.0	200.0	60.73600911458333	16.450258040022756	75.87513	12.429046	10800	-0.7769039273262024	168.93862915039062	-0.01930081844329834	-14.876251220703125	0.37381359934806824	0.009152252227067947	0.06666667014360428	79.0	35.53596353530884
18	200.0	0.0	200.0	200.0	200.0	70.22032552083333	12.49647867067626	76.983864	18.33667	11400	1.8622395992279053	694.0595703125	-0.08817994594573975	-255.30633544921875	0.3514777719974518	0.009999177418649197	0.0533333346247673	79.0	37.68920922279358
19	200.0	0.0	200.0	200.0	200.0	65.15897786458333	6.229284419176893	70.51861	49.348015	12000	-1.4724528789520264	425.818115234375	-0.05523574352264404	-95.419677734375	0.3934316635131836	0.0035048772115260363	0.08833333849906921	79.0	39.80158305168152
20	200.0	0.0	200.0	200.0	200.0	60.82147135416667	10.505047769802541	71.31758	20.300648	12600	-1.6628453731536865	266.0269470214844	-0.030361533164978027	-145.26235961914062	0.36847180128097534	0.00744829373434186	0.03999999910593033	79.0	41.83515000343323
21	200.0	0.0	200.0	200.0	200.0	65.66884765625	17.58793679865075	73.891495	4.932158	13200	-0.3739660382270813	347.3465881347656	-0.07463887333869934	-24.21881103515625	0.37547725439071655	0.002260778099298477	0.0650000050663948	79.0	43.84644293785095
22	200.0	0.0	200.0	200.0	200.0	60.085748697916664	20.224560924364546	72.22062	3.6166933	13800	-0.9093239307403564	331.9738464355469	-0.026224374771118164	-27.240570068359375	0.3769714832305908	0.003901927499100566	0.05000000074505806	79.0	45.68783521652222
23	200.0	0.0	200.0	200.0	200.0	64.64735677083333	9.42372856974616	70.42535	33.19983	14400	-0.628258466720581	364.3218688964844	-0.026860058307647705	-268.6381530761719	0.3786568343639374	0.0017128268955275416	0.023333333432674408	79.0	47.91388821601868
24	200.0	0.0	200.0	200.0	200.0	64.99458333333334	16.404546340115598	72.94208	6.8530893	15000	-0.11514155566692352	327.6745910644531	-0.043208152055740356	-18.74505615234375	0.39064857363700867	0.004675090312957764	0.03999999910593033	79.0	50.04425358772278
25	200.0	0.0	200.0	200.0	200.0	41.615162760416666	27.398311041315424	71.13994	0.13587523	15600	-7.9490861892700195	726.1715087890625	-0.09736061096191406	-655.700439453125	0.3903807997703552	0.009471400640904903	0.10166666656732559	79.0	51.90701222419739
26	200.0	0.0	200.0	200.0	200.0	69.99153645833333	9.971590177954734	76.00047	36.50801	16200	1.1654002666473389	313.3808288574219	-0.020406007766723633	-209.57791137695312	0.33932042121887207	0.004154450260102749	0.03666666895151138	79.0	53.945074796676636
27	200.0	0.0	200.0	200.0	200.0	49.59159830729167	27.304624150498757	77.020584	3.9573793	16800	-2.8412880897521973	454.6869812011719	-0.08333492279052734	-249.4024200439453	0.3344382345676422	0.002025111112743616	0.11833333969116211	79.0	55.97669696807861
28	200.0	0.0	200.0	200.0	200.0	66.8623046875	13.798004271451724	78.02033	19.00525	17400	-1.4088408946990967	207.436279296875	-0.038581252098083496	-59.316131591796875	0.33243611454963684	0.002396553521975875	0.023333333432674408	79.0	57.95341205596924
29	200.0	0.0	200.0	200.0	200.0	70.41384765625	13.458123708377776	80.08981	27.648884	18000	2.0535876750946045	475.841064453125	-0.08307671546936035	-255.01718139648438	0.31588608026504517	0.01588725671172142	0.18833333253860474	5.0	59.39158654212952
30	200.0	0.0	200.0	200.0	200.0	68.5045703125	11.055671739164774	77.0194	31.063936	18600	0.3677612841129303	425.6069641113281	-0.0722765326499939	-171.33013916015625	0.3147764801979065	0.006068672519177198	0.05166666954755783	79.0	61.36732482910156
31	200.0	0.0	200.0	200.0	200.0	69.427578125	6.744923824316575	77.61477	48.084675	19200	-0.210805743932724	606.1295776367188	-0.025231242179870605	-242.56549072265625	0.28869205713272095	0.0023220356088131666	0.01833333447575569	79.0	63.33893799781799
32	200.0	0.0	200.0	200.0	200.0	63.97975260416667	11.10629044730958	75.56075	40.368362	19800	-1.2251183986663818	601.0101318359375	-0.03463637828826904	-85.837646484375	0.2913329005241394	0.004366901703178883	0.030000001192092896	79.0	65.29725766181946
