Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossQ	Time
1	20.857142857142858	7.994258455151913	38.0	9.0	24.4	14.499654831559784	52.0	10.0	20.857142857142858	24.4	599	2.4673516845703123	1.1244000339742823	4.683967	-0.16789255	0.08160810470581055	2.2435152530670166
2	34.05555555555556	20.026294292944936	71.0	14.0	85.6	40.956562832621835	126.0	17.0	34.05555555555556	85.6	1199	7.165140787760417	1.670174612331622	11.1835575	1.9549927	0.21535580952962238	4.452121734619141
3	120.5	81.53066907612128	200.0	13.0	112.8	21.10355327752888	146.0	87.0	120.5	112.8	1799	12.383152669270833	1.8161661467652814	17.118313	3.199801	0.289093755086263	6.479703664779663
4	200.0	0.0	200.0	200.0	149.4	8.84533789300365	164.0	138.0	200.0	149.4	2399	17.757854817708335	2.038762350195068	22.343498	4.285347	0.30645797729492186	8.947345972061157
5	173.5	27.48181216732259	192.0	126.0	196.2	7.599999839381166	200.0	181.0	173.5	196.2	2999	23.19033365885417	1.8838240712737526	26.619255	11.209928	0.1876275889078776	11.264027118682861
6	157.66666666666666	12.229291162501594	170.0	141.0	196.4	7.199999745686845	200.0	182.0	157.66666666666666	196.4	3599	27.880826822916667	1.921182230323135	31.445343	18.224327	0.125148442586263	13.624228477478027
7	179.0	12.90348790056394	200.0	165.0	153.0	15.786069808536892	182.0	135.0	179.0	153.0	4199	32.005908203125	2.1648609951346085	35.22764	21.136768	0.11786905924479167	16.304070711135864
8	174.66666666666666	18.803073756231765	200.0	155.0	168.8	16.939894030531153	200.0	149.0	174.66666666666666	168.8	4799	35.648831380208335	2.8811895555843483	39.35887	21.188013	0.146418088277181	18.795532941818237
9	170.0	16.077935190813527	185.0	143.0	172.2	11.737120496893338	194.0	161.0	170.0	172.2	5399	38.96596028645833	3.7527843395909612	42.751102	21.48146	0.10332054138183594	21.106355905532837
10	176.66666666666666	16.9967319114756	200.0	160.0	184.6	18.325937635885783	200.0	150.0	176.66666666666666	184.6	5999	42.01934895833333	4.62378221580198	46.33308	23.071632	0.12836167653401692	23.515033721923828
11	166.75	19.967160539245434	200.0	147.0	167.4	15.396103085988187	187.0	141.0	166.75	167.4	6599	44.87216796875	5.403497011002844	49.616558	23.837345	0.13191267649332683	26.487069129943848
12	170.0	15.121728296285006	184.0	149.0	167.6	31.891065191719452	200.0	115.0	170.0	167.6	7199	47.62854166666666	6.114538259345508	52.79424	24.065197	0.1503976567586263	28.766976594924927
13	151.5	6.264982043070834	160.0	145.0	137.2	11.408768985549012	156.0	122.0	151.5	137.2	7799	50.228268229166666	7.187391077073215	56.039043	20.758291	0.15872091929117838	30.971085786819458
14	159.0	11.067971810589327	178.0	151.0	180.8	18.819138804726492	200.0	149.0	159.0	180.8	8399	51.659557291666665	8.487808735793749	58.861572	20.222218	0.13358019510904948	33.33780479431152
15	200.0	0.0	200.0	200.0	164.8	20.56599158235812	200.0	139.0	200.0	164.8	8999	53.746754557291666	9.592831457113345	61.265953	17.558826	0.11913795471191406	35.579813957214355
16	180.33333333333334	15.627611109952355	198.0	160.0	169.6	25.67956366908081	200.0	141.0	180.33333333333334	169.6	9599	56.64102213541667	10.070759744076742	63.914253	14.739551	0.09692826588948568	37.974770069122314
17	143.0	31.336879231984796	185.0	101.0	192.0	10.119288512538814	200.0	176.0	143.0	192.0	10199	59.39022786458333	10.113888257098916	66.25156	10.590758	0.09226500193277995	40.399290561676025
18	155.25	43.53949356618655	200.0	101.0	160.4	12.435433343531146	180.0	145.0	155.25	160.4	10799	61.577486979166665	10.635903718850912	68.84116	5.219946	0.1607534662882487	42.81401467323303
19	190.66666666666666	13.19932683904396	200.0	172.0	186.8	10.796295547945775	200.0	177.0	190.66666666666666	186.8	11399	61.66379557291667	13.201974678686014	70.64208	1.0898046	0.11843739827473958	45.307573556900024
20	188.0	16.97056274847714	200.0	164.0	158.4	7.418894960936315	167.0	145.0	188.0	158.4	11999	63.95716145833333	13.674895261634243	72.45412	0.47856754	0.09355310440063476	47.67354965209961
21	194.0	5.354126134736337	200.0	187.0	184.6	20.703622635528667	200.0	148.0	194.0	184.6	12599	64.14039713541666	16.283761402595736	74.2986	1.6172842	0.032309096654256186	50.225066900253296
22	200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	13199	66.19223307291666	15.678976768271582	75.97071	2.6785207	0.01576623280843099	52.89288592338562
23	195.0	4.546060565661952	200.0	189.0	146.2	10.36146695977909	162.0	136.0	195.0	146.2	13799	66.515078125	16.31941583921843	78.07521	2.7513165	0.020944738388061525	55.47847604751587
24	167.25	19.891895334532606	200.0	149.0	200.0	0.0	200.0	200.0	167.25	200.0	14399	67.08065755208334	17.451081180689062	80.02743	4.582827	0.02926589012145996	57.98993754386902
25	200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	14999	68.2352734375	18.595288801871295	81.510124	4.500542	0.026574637095133465	60.32315969467163
