Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
12	200.0	0.0	200.0	200.0	200.0	63.83461328125	5.0883349284171535	67.15656	47.909897	6500	-0.409298300743103	475.2860107421875	-0.1024739146232605	-209.18112182617188	0.531663179397583	0.006397222634404898	0.052000001072883606	79.0	17.96621823310852
13	192.0	8.0	200.0	184.0	192.0	48.2201171875	22.684249767184276	69.01243	-7.663979	7000	-5.0843825340271	223.48326110839844	-0.13286352157592773	-177.79078674316406	0.5611662864685059	-0.010812411084771156	0.1120000034570694	79.0	19.210431337356567
14	200.0	0.0	200.0	200.0	200.0	70.5228671875	4.8850363435828195	72.97384	54.53731	7500	1.5113359689712524	659.4563598632812	-0.10861086845397949	-212.79168701171875	0.5045815110206604	0.01297767460346222	0.07000000029802322	79.0	20.82839298248291
15	101.25	17.455300054711177	128.0	81.0	101.25	56.3195625	14.47423789012741	71.26165	15.221657	8000	6.305476665496826	393.3267822265625	-0.17459821701049805	-341.8752746582031	0.519791305065155	0.020876241847872734	0.12000000476837158	4.0	22.043370485305786
16	155.0	19.510680835549195	181.0	134.0	155.0	38.3609140625	16.722645574190707	61.282143	9.479016	8500	-5.417837619781494	324.3679504394531	0.010966777801513672	-252.98660278320312	0.5435853600502014	0.016629602760076523	0.20200000703334808	4.0	23.074558973312378
17	154.0	26.419689627245813	191.0	131.0	154.0	41.8707890625	25.738225463306517	69.45769	-0.062177658	9000	-3.4108638763427734	156.47706604003906	-0.08417630195617676	-128.4261016845703	0.529281497001648	-0.0028052267152816057	0.09000000357627869	79.0	24.469972848892212
18	136.66666666666666	5.312459070384611	143.0	130.0	136.66666666666666	52.249984375	21.556503514021006	72.59023	6.1699557	9500	0.6320635676383972	27.0738468170166	-0.041227638721466064	-11.69239616394043	0.5145378708839417	0.010822375304996967	0.09800000488758087	79.0	27.761916875839233
19	109.75	11.627015954233485	120.0	90.0	109.75	56.34472265625	15.683441208006615	71.61609	5.676696	10000	4.489400386810303	230.3863525390625	-0.07062387466430664	-200.06832885742188	0.49980801343917847	0.00908106379210949	0.0820000022649765	79.0	30.114522457122803
20	149.0	5.0990195135927845	156.0	144.0	149.0	36.803046875	23.308590154704767	70.24256	1.6312697	10500	-5.206945419311523	259.93328857421875	-0.03818941116333008	-239.40757751464844	0.5379970669746399	0.004568447358906269	0.07400000095367432	79.0	32.482863426208496
21	122.25	17.711225254058512	147.0	97.0	122.25	55.443828125	19.23496490768829	72.59842	10.57242	11000	4.150003433227539	182.91554260253906	-0.0524744987487793	-160.09304809570312	0.4998112916946411	0.015109610743820667	0.08000000566244125	46.0	33.614466190338135
22	115.0	25.288337232803585	148.0	77.0	115.0	42.490234375	20.540930176114227	69.1218	0.864074	11500	-0.8148451447486877	199.8738250732422	-0.062686026096344	-32.75042724609375	0.483746200799942	0.015482272021472454	0.20200000703334808	7.0	34.5423686504364
23	165.33333333333334	24.567367420873314	200.0	146.0	165.33333333333334	43.949078125	16.082155289326117	65.366875	3.4562757	12000	-3.9523746967315674	151.5401611328125	-0.04081296920776367	-125.25121307373047	0.48789775371551514	0.007483205758035183	0.058000002056360245	79.0	35.71528887748718
24	200.0	0.0	200.0	200.0	200.0	50.1669140625	23.971958879073693	73.696014	-0.759498	12500	-4.41223669052124	182.33851623535156	-0.0459294319152832	-164.011962890625	0.4717220664024353	0.002380889607593417	0.11600000411272049	79.0	36.898457050323486
25	193.5	6.5	200.0	187.0	193.5	64.337625	16.96082250364056	78.197014	13.542572	13000	1.2771607637405396	99.54811096191406	-0.057546138763427734	-66.18528747558594	0.46738600730895996	0.005728181917220354	0.07000000029802322	79.0	38.06012773513794
26	138.66666666666666	18.803073756231765	164.0	119.0	138.66666666666666	56.972921875	21.091538587784438	77.31431	5.4856553	13500	1.7799276113510132	54.47059631347656	-0.018388748168945312	-40.72706604003906	0.468790739774704	0.015526464208960533	0.12400000542402267	31.0	39.06504487991333
27	198.0	2.0	200.0	196.0	198.0	60.34815234375	16.152725195768053	76.7288	6.993064	14000	0.43425267934799194	122.2034683227539	-0.0671396255493164	-52.2880859375	0.457753986120224	0.020878877490758896	0.1900000125169754	6.0	39.96813941001892
28	199.5	0.5	200.0	199.0	199.5	63.93809765625	18.990653128578806	76.52001	10.286413	14500	-0.5889776349067688	115.70803833007812	-0.034221768379211426	-25.297988891601562	0.4516887664794922	0.003764366265386343	0.03200000151991844	79.0	41.11078095436096
29	200.0	0.0	200.0	200.0	200.0	62.37199609375	13.357406068357733	77.17094	29.94776	15000	-0.43001851439476013	220.54287719726562	-0.06360846757888794	-194.41140747070312	0.4744035303592682	0.003337990492582321	0.046000003814697266	79.0	42.26640486717224
30	199.0	1.0	200.0	198.0	199.0	51.59319140625	32.07335245184076	79.08759	-34.50194	15500	-1.0911003351211548	359.5050048828125	-0.14674532413482666	-275.5406494140625	0.46935147047042847	0.009563085623085499	0.10000000149011612	79.0	43.41053009033203
31	194.0	6.0	200.0	188.0	194.0	60.9762265625	14.218081028218963	77.70265	17.60284	16000	-0.8251384496688843	283.49407958984375	-0.125724196434021	-231.0345458984375	0.4447218179702759	0.009791029617190361	0.09800000488758087	79.0	44.581692934036255
