Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	25.666666666666668	17.20142112992089	80.0	12.0	25.666666666666668	0.03594928741455078	0.05572663013235416	0.14911965	-0.16969325	500	-11.415635108947754	424.0728759765625	-0.21918010711669922	-197.14480590820312	0.6858968138694763	0.006079839076846838	0.2800000011920929	79.0	2.4019508361816406
1	32.0	26.403462976338105	112.0	11.0	32.0	7.884427734375	0.21424454793146866	8.2384	6.8794975	1000	-8.928146362304688	493.72283935546875	-0.1913299560546875	-156.92437744140625	0.6748698353767395	0.01641208678483963	0.4220000207424164	15.0	3.7039389610290527
2	44.4	31.394904667198784	122.0	15.0	44.4	14.6398349609375	0.8083672690068311	15.126253	7.9554157	1500	-7.526495456695557	470.6310729980469	-0.19463634490966797	-107.32095336914062	0.6550690531730652	0.015392601490020752	0.2460000067949295	15.0	4.957184314727783
3	59.42857142857143	14.231324772177935	75.0	39.0	59.42857142857143	20.289607421875	0.4711763699835332	20.47645	13.927557	2000	-6.734464645385742	336.0707092285156	-0.17366361618041992	-62.80218505859375	0.6217450499534607	7.9108722275123e-05	0.14600001275539398	79.0	6.236840009689331
4	97.2	60.14116856405436	200.0	40.0	97.2	24.62689453125	0.05806775011649684	24.66457	24.010927	2500	-8.780498504638672	917.0409545898438	-0.20973777770996094	-204.92938232421875	0.6187516450881958	0.01109982468187809	0.16600000858306885	79.0	7.509607553482056
5	127.33333333333333	61.75938799250146	172.0	40.0	127.33333333333333	31.8478046875	0.016233850854337283	31.857277	31.680958	3000	-9.572721481323242	910.2871704101562	-0.2346210479736328	-233.03436279296875	0.5820236802101135	0.0026235843542963266	0.15200001001358032	79.0	8.794878244400024
6	135.66666666666666	65.38263280011749	192.0	44.0	135.66666666666666	39.1437109375	0.021353221422689812	39.156715	39.03311	3500	-6.983868598937988	718.4346313476562	-0.13128137588500977	-106.6605224609375	0.5137562155723572	0.015576674602925777	0.14600001275539398	4.0	9.863059759140015
7	196.5	2.5	199.0	194.0	196.5	44.122234375	0.010232047260356656	44.12753	44.032616	4000	-7.643802165985107	700.6038818359375	-0.12616539001464844	-123.34197998046875	0.5202316045761108	0.005033377092331648	0.11600000411272049	79.0	11.149867296218872
8	188.5	11.5	200.0	177.0	188.5	49.35917578125	0.010963280131768725	49.364796	49.2978	4500	-5.99053955078125	596.292724609375	-0.06152820587158203	-60.46368408203125	0.500934362411499	0.005225922912359238	0.020000001415610313	79.0	12.418388843536377
9	153.0	15.57776192739723	171.0	133.0	153.0	53.15126171875	0.008534660063054152	53.15594	53.087086	5000	-1.6983085870742798	479.69146728515625	-0.15759694576263428	-3.65545654296875	0.49516648054122925	0.002491740509867668	0.07200000435113907	79.0	13.693266868591309
10	166.33333333333334	23.976841243492125	200.0	146.0	166.33333333333334	52.3776484375	0.007456788212456026	52.38126	52.32656	5500	-2.411799669265747	538.2133178710938	-0.20704913139343262	-0.16973876953125	0.4959079325199127	0.01312717143446207	0.06599999964237213	79.0	15.01796817779541
11	157.66666666666666	36.935378270281056	200.0	110.0	157.66666666666666	52.1416328125	0.006778679971588222	52.145695	52.101494	6000	-2.1592276096343994	525.8150634765625	-0.11803650856018066	-0.4000244140625	0.5096243023872375	0.02092798985540867	0.1900000125169754	5.0	16.067742824554443
12	189.5	10.5	200.0	179.0	189.5	51.8323203125	0.004728160777085835	51.835342	51.81213	6500	-5.2102580070495605	563.9459228515625	-0.11368370056152344	-40.041259765625	0.49189668893814087	0.0008753777947276831	0.03800000250339508	79.0	17.40023159980774
13	185.0	15.0	200.0	170.0	185.0	55.116921875	0.002134930024094663	55.11841	55.106483	7000	-4.174526691436768	542.0579223632812	-0.06992053985595703	-18.3958740234375	0.5156717896461487	0.0001833601127145812	0.02200000174343586	79.0	18.724135637283325
14	200.0	0.0	200.0	200.0	200.0	57.5302734375	0.002587979333184903	57.531677	57.513245	7500	-3.4180493354797363	526.525146484375	-0.15532374382019043	-6.0335693359375	0.510154128074646	0.018032584339380264	0.22200001776218414	5.0	19.738743543624878
15	164.0	2.943920288775949	168.0	161.0	164.0	58.9515078125	0.0030810991819043556	58.95289	58.92205	8000	0.10599172115325928	565.6812744140625	-0.1272382140159607	-40.08038330078125	0.5116219520568848	0.007581362500786781	0.04800000041723251	79.0	21.044109582901
16	148.33333333333334	24.689179465553156	171.0	114.0	148.33333333333334	55.47514453125	0.002904815798065781	55.476887	55.459064	8500	-0.844696581363678	504.4979248046875	-0.11653590202331543	-17.760101318359375	0.5017580986022949	0.007243071682751179	0.06200000271201134	79.0	22.32186269760132
17	162.5	19.5	182.0	143.0	162.5	52.959921875	0.002699335765096412	52.96126	52.94366	9000	-4.859310626983643	604.1466674804688	-0.08336400985717773	-41.83843994140625	0.5147892236709595	-0.004029869567602873	0.07200000435113907	79.0	23.57653546333313
18	163.33333333333334	12.283684124503239	173.0	146.0	163.33333333333334	56.59637890625	0.0018429127419666445	56.597275	56.58185	9500	-0.7175163626670837	537.1672973632812	-0.19499248266220093	-19.33282470703125	0.49978315830230713	-0.0014601288130506873	0.08800000697374344	79.0	24.852837085723877
19	150.33333333333334	6.944221974518111	160.0	144.0	150.33333333333334	54.16512109375	0.0008817555680303644	54.16558	54.159634	10000	-1.3067493438720703	476.2604675292969	-0.10370945930480957	-12.440826416015625	0.5102150440216064	0.0170290470123291	0.16600000858306885	6.0	25.838021993637085
20	170.0	30.0	200.0	140.0	170.0	51.977390625	0.0016404908556819928	51.97819	51.965	10500	-5.169190883636475	604.2692260742188	-0.1369009017944336	-52.47283935546875	0.502252459526062	0.0038977048825472593	0.09800000488758087	79.0	27.118417024612427
21	198.0	2.0	200.0	196.0	198.0	56.249046875	0.0015333559330642	56.249805	56.24085	11000	-3.8205878734588623	529.8392944335938	-0.12747955322265625	-12.88812255859375	0.4904246926307678	0.007478250190615654	0.06599999964237213	79.0	28.391357421875
22	188.5	2.5	191.0	186.0	188.5	58.571734375	0.0007793620887158567	58.572117	58.566124	11500	-3.0853195190429688	526.8247680664062	-0.1300203800201416	-3.2197265625	0.48557350039482117	0.0008527313475497067	0.046000003814697266	79.0	29.732017517089844
23	186.0	10.0	196.0	176.0	186.0	59.74344921875	0.0012081500241844984	59.744095	59.736443	12000	-2.716200351715088	531.71923828125	-0.1881425380706787	-0.89215087890625	0.48692572116851807	-0.0035602357238531113	0.08000000566244125	79.0	31.022802591323853
24	177.0	3.0	180.0	174.0	177.0	60.3719375	0.0011222833650277643	60.372513	60.36577	12500	-2.518118143081665	543.7216796875	-0.13416218757629395	-0.39520263671875	0.5058601498603821	0.0062769027426838875	0.0560000017285347	79.0	32.29287338256836
25	179.5	8.5	188.0	171.0	179.5	60.79415625	0.0014347431307285238	60.79485	60.783573	13000	-2.385148525238037	542.3450317382812	-0.15760016441345215	-0.06597900390625	0.5142179727554321	0.002239106921479106	0.058000002056360245	79.0	33.56008267402649
26	157.0	10.03327796219494	171.0	148.0	157.0	60.9716328125	0.0010837733647592646	60.972233	60.96509	13500	1.0275105237960815	588.9469604492188	-0.17147815227508545	-84.00442504882812	0.4836324453353882	-0.0028521225322037935	0.058000002056360245	79.0	34.885382652282715
27	177.5	1.5	179.0	176.0	177.5	54.92370703125	0.0004946516046842139	54.92395	54.918743	14000	-4.234408855438232	548.0650634765625	-0.1824655532836914	-22.50323486328125	0.4918055832386017	-0.000278813618933782	0.06200000271201134	79.0	36.17361640930176
28	162.5	9.5	172.0	153.0	162.5	57.914234375	0.0006567653177148801	57.91454	57.909462	14500	-3.2962214946746826	574.234130859375	-0.06272387504577637	-9.91937255859375	0.4887154698371887	-0.002481931820511818	0.046000003814697266	79.0	37.54849886894226
