Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
10	153.0	66.46803743153546	200.0	59.0	153.0	49.25162109375	8.20514717138984	55.440365	27.321608	6600	-3.3374135494232178	511.08502197265625	-0.14943146705627441	-214.04241943359375	0.5734848380088806	0.00613068975508213	0.12833333015441895	79.0	20.19371795654297
11	200.0	0.0	200.0	200.0	200.0	56.78287109375	4.03132126067507	59.176384	39.855293	7200	-4.69305944442749	570.6520385742188	-0.08719110488891602	-194.23764038085938	0.5757598280906677	0.005192903336137533	0.03500000014901161	79.0	22.122562408447266
12	200.0	0.0	200.0	200.0	200.0	63.07686848958333	5.033100882377334	65.367905	33.852654	7800	-3.2025856971740723	540.5908203125	-0.0990910530090332	-103.59268188476562	0.5642135143280029	-0.003154651029035449	0.038333334028720856	79.0	24.56603217124939
13	200.0	0.0	200.0	200.0	200.0	65.23126302083334	6.254037758220684	67.66799	15.182419	8400	-0.6058660745620728	527.359130859375	-0.062362074851989746	-159.86199951171875	0.5414251685142517	0.016455404460430145	0.2516666650772095	8.0	26.26150107383728
14	200.0	0.0	200.0	200.0	200.0	65.1265234375	3.4899702832724806	67.61736	50.325443	9000	-2.2140634059906006	511.03448486328125	-0.09666252136230469	-188.07064819335938	0.546273946762085	0.008501559495925903	0.11166667193174362	79.0	28.376847505569458
15	200.0	0.0	200.0	200.0	200.0	47.3046484375	17.37686890428384	69.63856	13.838413	9600	-4.736001968383789	330.6707763671875	-0.07407093048095703	-173.8477325439453	0.5511481761932373	0.01506130862981081	0.2150000035762787	56.0	30.368544816970825
16	200.0	0.0	200.0	200.0	200.0	64.31635416666667	14.389394061541761	72.72218	14.64794	10200	-2.2704062461853027	354.5776672363281	-0.07495665550231934	-101.49797058105469	0.5311569571495056	0.015901656821370125	0.22833333909511566	8.0	32.00616788864136
17	200.0	0.0	200.0	200.0	200.0	66.62897135416667	11.914798986799287	75.084526	23.727943	10800	-1.156907320022583	388.3486022949219	-0.05628013610839844	-84.64739990234375	0.5366209149360657	0.006411263253539801	0.046666666865348816	79.0	34.007330894470215
18	200.0	0.0	200.0	200.0	200.0	62.74507161458333	7.378822279277816	75.5202	38.66471	11400	-2.5652031898498535	331.63427734375	-0.02837538719177246	-277.99444580078125	0.5100082755088806	0.003936491906642914	0.021666666492819786	79.0	35.8668327331543
19	200.0	0.0	200.0	200.0	200.0	58.37930989583333	25.117892858810166	79.48043	-1.0567893	12000	-2.4700183868408203	184.84530639648438	-0.0822896957397461	-134.694091796875	0.5108965039253235	0.02050786279141903	0.23000000417232513	6.0	37.60818076133728
20	200.0	0.0	200.0	200.0	200.0	76.61692057291667	8.14637412953354	80.82338	28.69182	12600	1.3785256147384644	538.1676025390625	-0.1376802921295166	-356.710693359375	0.5112830996513367	0.003630794817581773	0.11500000208616257	79.0	39.89858913421631
21	200.0	0.0	200.0	200.0	200.0	76.3327734375	13.860211244031118	82.918526	31.214407	13200	1.2948096990585327	523.0233764648438	-0.02465510368347168	-106.81106567382812	0.5526955127716064	0.0016596633940935135	0.023333333432674408	79.0	41.70702314376831
22	200.0	0.0	200.0	200.0	200.0	64.86255208333333	15.941000432584733	80.74671	30.158587	13800	-2.52551007270813	505.4903259277344	-0.07296037673950195	-133.76324462890625	0.5641528367996216	0.0022436862345784903	0.10000000149011612	79.0	43.781986713409424
23	194.66666666666666	7.542472107873311	200.0	184.0	194.66666666666666	62.87951171875	24.83900452581249	84.41315	6.4644704	14400	0.49700337648391724	1096.4415283203125	-0.11324140429496765	-807.479248046875	0.5580541491508484	0.004264297895133495	0.030000001192092896	79.0	45.778162479400635
24	200.0	0.0	200.0	200.0	200.0	64.16036458333333	9.52848115519992	80.05738	53.79593	15000	-1.021223783493042	355.14300537109375	-0.08161818981170654	-49.687957763671875	0.5597931742668152	0.01503736525774002	0.20499999821186066	7.0	47.39936971664429
25	200.0	0.0	200.0	200.0	200.0	70.093046875	12.100680077306949	80.3386	40.735798	15600	0.9049081802368164	502.35980224609375	-0.06567245721817017	-175.80535888671875	0.5639556050300598	0.001542602782137692	0.06000000238418579	79.0	49.27336025238037
26	200.0	0.0	200.0	200.0	200.0	62.80629557291667	10.606888976038167	77.83223	48.84512	16200	-1.28933846950531	275.92938232421875	-0.02819955348968506	-52.92662048339844	0.5519798994064331	0.002264013746753335	0.01666666753590107	79.0	51.17629361152649
27	200.0	0.0	200.0	200.0	200.0	72.60020833333333	7.924860753902872	78.211624	50.060604	16800	0.29324331879615784	673.4105834960938	-0.11597728729248047	-130.09307861328125	0.5519405603408813	0.005892848130315542	0.08166667073965073	79.0	53.143935680389404
28	200.0	0.0	200.0	200.0	200.0	69.50061197916666	3.325719616872728	73.39351	61.76263	17400	-0.7403530478477478	596.61572265625	-0.05632424354553223	-48.63275146484375	0.5661643743515015	0.015257851220667362	0.07833333313465118	10.0	54.770607709884644
29	200.0	0.0	200.0	200.0	200.0	65.65361979166667	6.727469390568913	72.12318	46.733932	18000	-2.183215856552124	555.7811889648438	-0.08621692657470703	-326.121826171875	0.5685423016548157	0.0026581380516290665	0.04500000178813934	79.0	56.76731491088867
30	168.0	45.254833995939045	200.0	104.0	168.0	65.4716796875	13.589381961050817	78.967445	42.503376	18600	1.8229659795761108	538.2183227539062	-0.08432888984680176	-201.62124633789062	0.5637688040733337	0.004103061743080616	0.03166666626930237	79.0	58.724427223205566
31	200.0	0.0	200.0	200.0	200.0	71.98384114583334	4.856672111373778	77.2833	38.532932	19200	-0.39942044019699097	684.9078369140625	-0.05479893088340759	-172.92510986328125	0.5837926268577576	0.0019344487227499485	0.07000000029802322	79.0	60.78243970870972
32	200.0	0.0	200.0	200.0	200.0	61.30529947916666	10.977951980560855	75.57519	36.91184	19800	-3.221932888031006	529.3226318359375	-0.05701732635498047	-100.339599609375	0.5666285157203674	0.0009225082467310131	0.061666667461395264	79.0	62.50984263420105
33	191.66666666666666	11.785113307498275	200.0	175.0	191.66666666666666	67.74389322916667	8.022573539576728	74.86806	42.117474	20400	1.746873378753662	574.2393188476562	-0.08558225631713867	-228.02102661132812	0.5637546181678772	0.01640460081398487	0.16333334147930145	6.0	63.980539321899414
34	200.0	0.0	200.0	200.0	200.0	49.49189453125	17.073979654726077	68.15597	-7.126325	21000	-5.981597423553467	930.849609375	-0.1269392967224121	-511.35894775390625	0.5633869767189026	0.002744292374700308	0.0833333358168602	79.0	65.77680039405823
35	171.66666666666666	40.0693835902436	200.0	115.0	171.66666666666666	66.71653645833334	7.160585022509218	73.18751	49.08344	21600	1.772706389427185	458.6166687011719	-0.12449502944946289	-275.20489501953125	0.5836735367774963	0.004694793373346329	0.03333333507180214	79.0	67.56625390052795
36	200.0	0.0	200.0	200.0	200.0	51.84296875	18.724030626888716	73.34344	28.248764	22200	-4.719723224639893	357.3266296386719	-0.08536767959594727	-288.6385192871094	0.5928642749786377	-0.0020219688303768635	0.11833333969116211	79.0	69.27468752861023
37	200.0	0.0	200.0	200.0	200.0	71.72088541666666	10.325919299268225	78.62778	33.02296	22800	1.2711576223373413	425.87481689453125	-0.02786839008331299	-84.99996948242188	0.5570014119148254	0.016323735937476158	0.18666666746139526	9.0	70.61610293388367
38	200.0	0.0	200.0	200.0	200.0	69.11391276041667	7.315484166734967	76.17102	42.417988	23400	0.04146408289670944	568.2673950195312	-0.04150039702653885	-93.90695190429688	0.5399474501609802	-0.00036304493551142514	0.028333334252238274	79.0	72.46766257286072
39	200.0	0.0	200.0	200.0	200.0	66.49665364583333	3.7810524225240516	73.20533	58.051632	24000	-1.915812611579895	709.1778564453125	-0.03400921821594238	-430.3768005371094	0.5402037501335144	-0.0003351769410073757	0.01833333447575569	79.0	74.30116963386536
40	200.0	0.0	200.0	200.0	200.0	51.77041015625	11.0159673410161	73.74093	39.618546	24600	-5.428617477416992	521.9351196289062	-0.08317899703979492	-163.39227294921875	0.5399274230003357	0.01833181641995907	0.1666666716337204	6.0	75.70193672180176
41	200.0	0.0	200.0	200.0	200.0	71.32947916666667	6.344568399590576	78.19008	51.722656	25200	-0.20705534517765045	734.148681640625	-0.03885795176029205	-300.8526916503906	0.5384558439254761	-0.0037331769708544016	0.01666666753590107	79.0	77.9125804901123
42	200.0	0.0	200.0	200.0	200.0	66.21199869791667	11.107050125933528	78.262054	26.597939	25800	-1.7590276002883911	623.5693969726562	-0.11048662662506104	-66.9561767578125	0.5509068965911865	0.020182738080620766	0.3050000071525574	5.0	79.27992534637451
43	200.0	0.0	200.0	200.0	200.0	68.9641796875	7.637130463646016	76.008644	26.638977	26400	-0.570203959941864	491.6805419921875	-0.008469641208648682	-133.71908569335938	0.5500908493995667	0.018294282257556915	0.22333334386348724	5.0	80.63498592376709
44	200.0	0.0	200.0	200.0	200.0	46.17716145833333	12.311714759224241	69.72749	26.289206	27000	-6.242522716522217	622.466552734375	-0.06266212463378906	-281.3243408203125	0.5484095215797424	0.015121600590646267	0.17499999701976776	9.0	82.01529669761658
45	200.0	0.0	200.0	200.0	200.0	70.11671223958334	12.339199055584334	80.19271	34.98748	27600	-0.3925270140171051	407.5584411621094	-0.0015588700771331787	-59.0284423828125	0.5423301458358765	0.015291406773030758	0.17666667699813843	7.0	83.60468745231628
46	200.0	0.0	200.0	200.0	200.0	72.03623697916667	10.812475915194755	80.18312	26.624249	28200	0.388996958732605	796.1672973632812	-0.09829249978065491	-278.43157958984375	0.5415289402008057	0.004055716563016176	0.02500000037252903	79.0	85.38993453979492
47	200.0	0.0	200.0	200.0	200.0	68.94977864583333	5.628127891911158	77.40714	59.873898	28800	-0.41391053795814514	446.92437744140625	-0.08333557844161987	-45.6046142578125	0.5571658611297607	0.018391985446214676	0.2900000214576721	6.0	86.90398788452148
48	200.0	0.0	200.0	200.0	200.0	67.6058203125	8.872386645749083	77.80645	33.341053	29400	-1.1435130834579468	534.6720581054688	-0.04378306865692139	-31.995208740234375	0.5444099307060242	0.005277897696942091	0.07333333790302277	79.0	88.71048164367676
49	200.0	0.0	200.0	200.0	200.0	65.80587890625	13.500892138731672	78.41143	30.813168	30000	0.18645548820495605	422.9883117675781	-0.09575805813074112	-65.5091552734375	0.5441434383392334	0.01502332091331482	0.17666667699813843	37.0	90.3274438381195
50	152.0	54.35684562837202	200.0	76.0	152.0	59.62252604166667	11.175609370037352	76.445816	28.31322	30600	0.27205291390419006	446.5195007324219	-0.10082584619522095	-121.48208618164062	0.54361891746521	0.004720199853181839	0.02500000037252903	79.0	92.19197082519531
51	190.33333333333334	13.670731350976542	200.0	171.0	190.33333333333334	59.7845703125	10.911785247688238	75.127495	23.62687	31200	-0.5309926271438599	498.1197509765625	-0.15574055910110474	-219.76776123046875	0.5317822098731995	0.006159795448184013	0.09166666865348816	79.0	94.26044225692749
52	169.33333333333334	43.36921528729125	200.0	108.0	169.33333333333334	60.588704427083336	13.050679460280985	74.76343	15.746243	31800	0.6093058586120605	523.2962646484375	-0.06738972663879395	-132.11288452148438	0.5562277436256409	0.003110388992354274	0.0949999988079071	79.0	96.20387148857117
53	180.0	28.284271247461902	200.0	140.0	180.0	59.61716796875	6.891406087627062	69.98798	41.693428	32400	-0.5161572694778442	380.2190856933594	-0.08777356147766113	-292.6327209472656	0.5322285890579224	0.01915409229695797	0.11500000208616257	6.0	97.70687246322632
54	200.0	0.0	200.0	200.0	200.0	51.68843098958333	14.405910606992766	73.13114	19.232325	33000	-5.471688270568848	860.806396484375	-0.14032888412475586	-450.4945983886719	0.5507767200469971	0.007142052054405212	0.10333333909511566	79.0	99.67860317230225
