Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossQ	Time
1	25.136363636363637	10.30134770598775	44.0	11.0	38.4	15.538340151008327	56.0	17.0	25.136363636363637	38.4	599	2.3891505432128906	1.1153393462528813	4.6387277	-0.33874005	0.06299827575683593	2.3382575511932373
2	31.75	17.143147318972673	64.0	12.0	69.2	18.59462314126385	90.0	37.0	31.75	69.2	1199	7.002176920572917	1.7933656854559343	10.81002	1.0834422	0.16654009501139322	5.283894062042236
3	138.33333333333334	53.28122556206673	200.0	70.0	181.4	37.200000525033595	200.0	107.0	138.33333333333334	181.4	1799	12.66113037109375	2.2108617662235144	18.594326	0.8043413	0.22799143473307293	9.523603677749634
4	200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	2399	18.479422200520833	2.485958123735947	23.896227	1.2146682	0.24577710469563802	13.771682977676392
5	192.75	8.584142356694699	200.0	179.0	195.8	6.209669681923005	200.0	184.0	192.75	195.8	2999	24.117156575520834	1.96543588865724	28.179379	2.331119	0.17691301981608074	18.220820665359497
6	188.66666666666666	16.027753918455726	200.0	166.0	182.0	12.214745187681975	200.0	164.0	188.66666666666666	182.0	3599	28.80583984375	1.680725333445169	32.32139	13.789018	0.0845871098836263	22.592758417129517
7	192.33333333333334	8.178563178858065	200.0	181.0	198.6	2.800000163487021	200.0	193.0	192.33333333333334	198.6	4199	32.966119791666664	1.6919826168673393	36.242226	26.248192	0.06380980173746745	27.94403386116028
8	192.33333333333334	10.842304290935557	200.0	177.0	200.0	0.0	200.0	200.0	192.33333333333334	200.0	4799	36.792063802083334	1.7440087640291309	40.07393	29.851479	0.0882088851928711	33.5439932346344
9	185.33333333333334	20.741799568720126	200.0	156.0	200.0	0.0	200.0	200.0	185.33333333333334	200.0	5399	40.48763997395833	1.7594850260704538	43.613132	31.873472	0.10737686157226563	38.23441982269287
10	200.0	0.0	200.0	200.0	189.6	17.083326346543288	200.0	156.0	200.0	189.6	5999	43.94815104166667	1.7304765095762822	46.842117	30.824476	0.08172771453857422	44.33299207687378
11	190.33333333333334	13.670731350976542	200.0	171.0	200.0	0.0	200.0	200.0	190.33333333333334	200.0	6599	47.03195963541667	1.8319038135314993	50.197	30.66909	0.07441973368326824	49.003599405288696
12	200.0	0.0	200.0	200.0	149.0	9.528903399657276	163.0	136.0	200.0	149.0	7199	50.10080078125	1.8554894187445308	53.203293	30.744938	0.05114161809285482	53.50904202461243
13	174.25	14.306903927824496	193.0	158.0	200.0	0.0	200.0	200.0	174.25	200.0	7799	52.63051432291667	2.1836150397739713	56.31616	34.52398	0.08100367863972982	57.27597451210022
14	159.75	69.71504500464731	200.0	39.0	40.6	57.704764480500224	156.0	11.0	159.75	40.6	8399	54.93525390625	2.6669153224726845	58.87388	34.540173	0.11618540445963542	60.511366844177246
15	198.0	2.8284271247461903	200.0	194.0	152.8	72.05109406698833	200.0	14.0	198.0	152.8	8999	57.08229817708333	3.0411045784865185	60.969196	34.99369	0.11792165120442709	64.24104428291321
16	107.33333333333333	92.71221433824132	200.0	10.0	163.2	73.60000106148097	200.0	16.0	107.33333333333333	163.2	9599	59.251614583333335	3.221798465385832	62.983364	33.55401	0.13083277384440103	68.56895923614502
17	61.333333333333336	67.15984249865721	167.0	11.0	163.4	5.314132331943405	173.0	157.0	61.333333333333336	163.4	10199	61.726953125	2.918667607910971	65.62401	38.696236	0.32377766927083335	72.0895504951477
18	141.25	47.12417108024289	181.0	62.0	184.8	10.979982229749965	200.0	166.0	141.25	184.8	10799	63.3768359375	4.4514936704928045	67.658035	39.764286	0.37768094380696615	75.67500281333923
19	196.0	5.656854249492381	200.0	188.0	200.0	0.0	200.0	200.0	196.0	200.0	11399	65.16	5.6093355383941566	70.196014	40.91379	0.5036641947428385	79.3146481513977
20	163.25	63.65286717815624	200.0	53.0	200.0	0.0	200.0	200.0	163.25	200.0	11999	67.5170703125	6.187472116940541	71.923836	40.104443	0.3110460662841797	82.97374701499939
21	164.33333333333334	50.44028318684135	200.0	93.0	200.0	0.0	200.0	200.0	164.33333333333334	200.0	12599	70.49853515625	5.353936441224033	73.74839	39.19706	0.18185057322184245	86.72675395011902
22	123.8	78.88827641829931	200.0	9.0	122.8	53.52158406603358	155.0	16.0	123.8	122.8	13199	73.469609375	2.996100167040064	75.45115	34.389305	0.14414558410644532	90.2672860622406
23	130.6	76.14092351932041	200.0	14.0	161.2	2.8565713447089167	166.0	157.0	130.6	161.2	13799	73.79953776041667	6.166854762052533	76.87163	32.50513	0.255084228515625	93.86782956123352
24	200.0	0.0	200.0	200.0	163.8	3.429285728887513	168.0	159.0	200.0	163.8	14399	74.60489583333333	6.987588280226471	78.54839	31.552412	0.19556120554606118	97.62281203269958
25	152.75	71.29296949910278	200.0	30.0	200.0	0.0	200.0	200.0	152.75	200.0	14999	74.47912109375	8.98917643439876	79.96494	29.264742	0.2055691146850586	101.4597556591034
26	200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	15599	76.52176432291667	8.124992788458338	81.559525	27.6138	0.104779421488444	105.16586899757385
27	200.0	0.0	200.0	200.0	157.8	4.445222394462449	161.0	149.0	200.0	157.8	16199	78.75152994791667	7.203715404220242	82.35644	28.418552	0.06090941111246745	108.83960294723511
28	198.0	2.8284271247461903	200.0	194.0	200.0	0.0	200.0	200.0	198.0	200.0	16799	80.62102864583333	6.7626121563404284	83.802635	28.243746	0.0406824270884196	112.67087173461914
29	159.0	65.36818798161687	200.0	46.0	111.8	62.35831753362979	200.0	57.0	159.0	111.8	17399	79.68968098958334	9.684936824888602	84.69006	27.882599	0.023878135681152345	116.28526663780212
30	190.66666666666666	13.19932683904396	200.0	172.0	144.8	4.534313686805486	153.0	140.0	190.66666666666666	144.8	17999	78.87048828125	11.64129178739055	85.71849	27.79857	0.055609423319498696	119.91114830970764
31	197.0	4.242640687119285	200.0	191.0	174.8	4.445222222831111	182.0	169.0	197.0	174.8	18599	79.22337239583334	11.438086278234367	87.08415	27.003496	0.14570809682210287	123.41782879829407
32	160.25	68.84901960086287	200.0	41.0	200.0	0.0	200.0	200.0	160.25	200.0	19199	80.84069010416667	10.836923283386295	87.68423	25.425531	0.1201089096069336	127.01721000671387
33	134.5	59.80175582706581	200.0	69.0	200.0	0.0	200.0	200.0	134.5	200.0	19799	84.24466145833334	7.3107111415944575	88.25967	26.870344	0.2786499532063802	130.63553833961487
34	200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	20399	85.55977864583333	6.812472046961	89.33171	36.12655	0.22254572550455728	134.34963154792786
35	200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	20999	88.41027994791666	3.3097239251843193	90.21496	38.003716	0.1360230000813802	137.9959020614624
36	200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	21599	89.42911458333333	0.7825795977553445	90.83083	79.57653	0.10166482289632162	141.701313495636
37	200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	22199	90.0616015625	0.6452800259181732	91.312836	85.02872	0.0027752025922139485	145.35372066497803
38	166.5	42.07433897282285	200.0	97.0	128.2	50.04957503253649	174.0	66.0	166.5	128.2	22799	90.60999348958333	0.7479458972315758	92.30612	84.10324	0.03505496025085449	148.78084564208984
39	189.33333333333334	3.681786890606931	194.0	185.0	200.0	0.0	200.0	200.0	189.33333333333334	200.0	23399	91.00734375	1.0718855817474517	92.40532	84.31064	0.14939666748046876	152.5104157924652
40	67.5	72.89890259805013	186.0	11.0	113.0	48.53040284192992	140.0	16.0	67.5	113.0	23999	91.06889322916666	1.3755736108217045	92.972694	83.62222	0.38076736450195314	156.24676942825317
41	160.5	52.0792665078916	200.0	73.0	200.0	0.0	200.0	200.0	160.5	200.0	24599	90.9819140625	2.109373456789559	93.53456	66.85327	0.6773338826497396	160.09350156784058
42	200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	25199	91.31568359375	3.5517049071390816	94.334335	65.58716	0.4987186686197917	164.055837392807
43	200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	25799	92.40717447916667	3.4861738630086996	95.2382	65.65129	0.4640273030598958	167.85678362846375
44	200.0	0.0	200.0	200.0	186.4	27.199999820484834	200.0	132.0	200.0	186.4	26399	93.15365234375	3.4707184026464533	96.04824	67.11587	0.09312322616577148	171.4785463809967
45	200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	26999	93.91658854166667	2.5425059982824196	95.35209	67.586784	0.0030273036162058514	175.18774938583374
46	200.0	0.0	200.0	200.0	189.4	7.863841455764876	200.0	177.0	200.0	189.4	27599	94.27324869791667	2.251879549878603	95.57897	75.01887	0.0020559271176656085	178.87178945541382
47	166.25	24.529319191530774	200.0	133.0	130.0	1.6733200530681511	133.0	128.0	166.25	130.0	28199	94.11575520833334	2.5959803882988584	95.87738	75.66528	0.045195604960123696	182.38445401191711
48	116.0	49.77951385861457	150.0	30.0	200.0	0.0	200.0	200.0	116.0	200.0	28799	93.97555338541666	3.3112389502143555	96.55952	77.111	0.2081920623779297	186.13572883605957
49	141.75	67.95724758993701	200.0	34.0	200.0	0.0	200.0	200.0	141.75	200.0	29399	93.76622395833333	3.815045043626069	96.76466	75.09247	0.3377796936035156	189.86429691314697
50	157.75	73.17914661978507	200.0	31.0	161.2	48.58559618086414	200.0	87.0	157.75	161.2	29999	93.80839192708333	4.352550288097389	96.866005	72.4861	0.38358757019042966	193.4750280380249
51	200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	30599	95.08496744791667	3.5293834945444083	97.3603	71.08667	0.29071126302083333	197.11932754516602
52	200.0	0.0	200.0	200.0	119.8	55.43789282555299	150.0	9.0	200.0	119.8	31199	96.3740234375	1.9638101468748832	97.58629	73.93405	0.10033365885416666	200.71209526062012
53	182.0	18.66815470259447	200.0	157.0	147.2	4.214261573556103	155.0	143.0	182.0	147.2	31799	96.45940104166667	2.2604349677638558	97.910034	70.63338	0.035551869074503584	204.62765622138977
54	125.5	60.28888786501207	200.0	54.0	200.0	0.0	200.0	200.0	125.5	200.0	32399	95.77755208333333	4.227295742773978	98.387794	68.1913	0.1542162577311198	208.40874242782593
55	183.33333333333334	13.474255539258545	200.0	167.0	156.2	4.308132093637621	160.0	148.0	183.33333333333334	156.2	32999	94.61473307291666	6.057687630365512	98.691826	64.93022	0.2911710103352865	212.27347469329834
56	200.0	0.0	200.0	200.0	194.0	12.0	200.0	170.0	200.0	194.0	33599	94.07886067708333	6.803176915664721	98.94262	53.654804	0.2756916809082031	215.93523335456848
57	200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	34199	95.01172526041667	6.180024155916248	99.20856	45.655502	0.13092759450276692	219.61574721336365
58	123.4	65.04337194807016	192.0	44.0	144.4	1.7435595664768748	146.0	141.0	123.4	144.4	34799	95.41356770833333	6.287413021267173	99.82069	41.515755	0.15048004150390626	223.05256175994873
59	188.75	16.723860200324566	200.0	160.0	200.0	0.0	200.0	200.0	188.75	200.0	35399	93.16974609375	8.999436469625936	98.51929	53.318638	0.19784103393554686	226.7252926826477
60	200.0	0.0	200.0	200.0	163.2	45.07061083386268	200.0	108.0	200.0	163.2	35999	92.32958333333333	10.155658957161108	98.50896	49.579113	0.1943889617919922	230.5296323299408
61	200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	36599	93.1433203125	9.673048696959507	98.95923	48.4421	0.16006874084472655	234.31892466545105
62	142.0	82.02438661763951	200.0	26.0	167.2	65.59999821360516	200.0	36.0	142.0	167.2	37199	96.04554036458333	5.971058399602062	98.68305	48.337204	0.044059346516927084	237.83902549743652
63	150.0	58.51922760939348	200.0	57.0	200.0	0.0	200.0	200.0	150.0	200.0	37799	97.75602864583334	1.0528721355828154	99.17659	72.30094	0.08136423746744792	242.30154514312744
