Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	18.09090909090909	8.020291113362852	39.0	9.0	18.09090909090909	-0.12744873046875	0.03249148208306137	-0.0463266	-0.21441948	600	5.897463321685791	162.01148986816406	0.0	-106.88479614257812	0.6917096376419067	-8.940697071579962e-10	2.6030828952789307
1	21.962962962962962	11.852430428405189	53.0	9.0	21.962962962962962	7.845935872395834	0.3884876421612136	8.197741	5.5346622	1200	3.015892505645752	111.52249908447266	0.0	-38.541236877441406	0.6914980411529541	-9.934107980669182e-10	4.190375328063965
2	19.82758620689655	10.780150493659551	63.0	9.0	19.82758620689655	11.603203938802084	3.736357127381339	13.757295	-5.6918535	1800	0.5277368426322937	77.431396484375	0.0	-2.2019500732421875	0.6917897462844849	1.5894572324981482e-09	5.707941770553589
3	20.821428571428573	7.343867839575076	45.0	9.0	20.821428571428573	12.078306477864583	3.2517544593345424	14.1431055	-4.3059797	2400	0.02432103455066681	39.62009048461914	0.0	-3.7118682861328125	0.6919144988059998	-2.8808913032918326e-09	7.117174863815308
4	27.272727272727273	17.289465107202762	66.0	9.0	27.272727272727273	11.764192708333333	3.5305372390918897	14.17011	-0.92303723	3000	2.7776784896850586	142.8887176513672	0.0	-35.95588684082031	0.6924583315849304	-1.9868215406226852e-10	8.489331007003784
5	22.11111111111111	14.47176944335969	80.0	10.0	22.11111111111111	15.702862955729167	5.13005689285785	19.421055	-0.14447841	3600	-0.708541989326477	100.7568359375	0.0	-13.343574523925781	0.6927398443222046	5.861123586470285e-09	9.838724613189697
6	19.9	11.058481202697623	57.0	9.0	19.9	13.578082682291667	6.070225425694667	20.139738	0.64503604	4200	-0.7807988524436951	68.03881072998047	0.0	-12.759708404541016	0.692858099937439	2.98023217215615e-10	11.16474461555481
7	21.185185185185187	7.262471002503944	37.0	9.0	21.185185185185187	12.353885091145834	4.68338291418002	18.030539	0.807078	4800	-0.2886482775211334	27.323028564453125	0.0	-5.77495002746582	0.6927947998046875	2.4835269396561444e-09	12.508153438568115
8	25.347826086956523	14.766614514232995	63.0	9.0	25.347826086956523	12.436951497395833	4.9757424265442545	18.724928	0.3585711	5400	1.691624402999878	100.32230377197266	0.0	-24.75365447998047	0.6923460960388184	0.0	13.833611488342285
9	35.5	18.77165416259313	74.0	14.0	35.5	16.1864599609375	5.250707107638774	20.986143	1.3101591	6000	1.8947608470916748	134.4681396484375	0.0	-29.519699096679688	0.692337155342102	-8.940697071579962e-10	15.18953275680542
10	23.208333333333332	10.958174749080259	56.0	9.0	23.208333333333332	17.3861376953125	7.835734201001844	24.716705	-0.044982836	6600	-1.6369856595993042	71.68132019042969	0.0	-24.23248291015625	0.6919727921485901	1.291433959771382e-09	16.531474113464355
11	25.869565217391305	13.129138921031515	56.0	9.0	25.869565217391305	14.704742838541666	6.469991074584906	21.763842	0.7440919	7200	0.1785537600517273	52.99752426147461	0.0	-1.1764984130859375	0.6915875673294067	1.390775050680304e-09	17.863913536071777
12	24.291666666666668	11.942498510386045	65.0	10.0	24.291666666666668	14.503251953125	7.117703226375064	22.095297	-0.08784804	7800	-0.4457099437713623	59.29996109008789	0.0	-6.907741546630859	0.6909444332122803	1.0927518889758403e-09	19.313565969467163
13	21.59259259259259	8.961892158897491	46.0	10.0	21.59259259259259	13.507295735677083	6.11647818099122	20.414255	1.0428329	8400	-0.7864299416542053	27.666231155395508	0.0	-3.5921096801757812	0.690033495426178	-2.781550101360608e-09	20.629050731658936
14	24.0	12.877888025604198	61.0	11.0	24.0	12.629949544270833	5.890402018326084	21.32037	0.94101596	9000	0.8304571509361267	77.24421691894531	0.0	-14.639461517333984	0.6888395547866821	2.4835269951672956e-10	22.038284063339233
15	25.956521739130434	18.291073517276185	74.0	11.0	25.956521739130434	14.796012369791667	6.237985326810252	21.238327	1.2564034	9600	0.9026768207550049	116.95282745361328	0.0	-23.37958526611328	0.6889678239822388	-2.2848447578383002e-09	23.42939281463623
16	25.217391304347824	11.0176011949223	49.0	13.0	25.217391304347824	16.619357096354168	8.323023570444017	25.123188	1.0261688	10200	-1.2015835046768188	50.535926818847656	0.0	-17.346412658691406	0.6883114576339722	9.934107980669182e-10	24.74786901473999
17	27.142857142857142	14.280474997206268	69.0	9.0	27.142857142857142	14.197589518229167	7.103647188973891	23.636375	1.6936837	10800	0.595806896686554	72.65516662597656	0.0	-18.83978271484375	0.6878501772880554	3.0795734851096768e-09	26.07637667655945
18	26.227272727272727	15.135545546542987	70.0	10.0	26.227272727272727	15.637794596354167	7.350704154195025	24.265482	-0.003338471	11400	-0.2214842289686203	84.67137145996094	0.0	-9.316253662109375	0.6863296627998352	5.9604643443123e-10	27.42177987098694
19	23.0	8.961455925668123	47.0	10.0	23.0	15.662685546875	6.905400353090205	22.991016	2.1641576	12000	-1.6775974035263062	37.11378860473633	0.0	-13.060249328613281	0.6862110495567322	6.95387525340152e-10	28.751227617263794
20	28.095238095238095	13.721393741357222	58.0	11.0	28.095238095238095	13.218046875	6.165278911979571	20.596571	0.97974175	12600	1.0962446928024292	71.53996276855469	0.0	-14.187213897705078	0.6845958828926086	1.7881394143159923e-09	30.093640327453613
21	26.0	14.057704208690962	65.0	11.0	26.0	16.5005078125	6.985757926101027	23.62294	-0.1607036	13200	-0.33625295758247375	75.092529296875	0.0	-4.7929229736328125	0.6828919053077698	-1.9371511061905267e-09	31.437049627304077
22	32.166666666666664	19.83053201505194	69.0	11.0	32.166666666666664	14.497975260416666	6.9830857311166525	24.518127	1.1852168	13800	1.8946999311447144	154.32449340820312	0.0	-50.85486602783203	0.6829891204833984	-1.19209286886246e-09	32.86722731590271
23	28.285714285714285	15.172478425178268	81.0	11.0	28.285714285714285	18.813899739583334	8.025148460464765	27.203085	1.1339881	14400	-1.4514544010162354	93.11263275146484	0.0	-10.866661071777344	0.6806122064590454	1.9868215406226852e-10	34.20265817642212
24	33.294117647058826	22.70466429592037	112.0	15.0	33.294117647058826	17.259309895833333	7.3475911940013825	24.446737	1.1698947	15000	1.1022388935089111	177.2192840576172	0.0	-25.058074951171875	0.6812384724617004	0.0	35.573991775512695
25	29.105263157894736	14.18262382149971	60.0	10.0	29.105263157894736	17.987942708333332	9.457096445372827	29.185472	1.2588341	15600	-0.16715304553508759	147.0717010498047	0.0	-60.211822509765625	0.678924024105072	-1.639127722441458e-09	36.91740322113037
26	27.38095238095238	13.105710563245303	64.0	14.0	27.38095238095238	17.551676432291668	8.270740973455764	26.625229	0.80678254	16200	-1.2598772048950195	80.48285675048828	0.0	-19.831981658935547	0.6786165833473206	9.43740197101306e-10	38.2518367767334
27	30.789473684210527	18.735216211196047	86.0	14.0	30.789473684210527	16.454117838541666	5.933940819205508	23.865759	1.4789548	16800	0.8213849663734436	130.22254943847656	0.0	-19.260414123535156	0.6750192642211914	-1.490116086078075e-10	39.58278775215149
28	31.263157894736842	23.92277443176602	122.0	9.0	31.263157894736842	18.820538736979167	7.687915808537881	26.383734	1.6616497	17400	-0.03701105713844299	179.94984436035156	0.0	-26.269973754882812	0.6761208772659302	3.5762788286319847e-09	40.931713819503784
29	23.91304347826087	13.47110623241462	67.0	9.0	23.91304347826087	14.246881510416667	9.342296430972775	31.285757	-0.40363875	18000	-0.212894469499588	103.73635864257812	0.0	-39.51228332519531	0.6722753047943115	1.1424223789191501e-09	42.30803394317627
30	28.428571428571427	18.599977073518577	101.0	11.0	28.428571428571427	16.657477213541668	7.121896710878126	25.93751	1.9278736	18600	-0.07823812961578369	125.2667465209961	0.0	-14.5491943359375	0.673057496547699	-2.7318796114172983e-09	43.68139410018921
31	28.38095238095238	17.58916485334353	75.0	10.0	28.38095238095238	15.374763997395833	9.306363680187696	27.849836	1.3587561	19200	0.33295294642448425	104.72966003417969	0.0	-17.447799682617188	0.6716752052307129	-6.45716979885691e-10	45.044780015945435
32	35.11764705882353	14.551661818252722	69.0	18.0	35.11764705882353	19.471013997395833	7.272858406503022	28.872818	1.7625828	19800	-0.5498127341270447	87.50336456298828	0.0	-16.24285125732422	0.6695330142974854	-1.5397867425548384e-09	46.5467631816864
33	35.125	21.38011634673675	85.0	14.0	35.125	17.674798177083332	7.825383543582172	28.179155	0.45387596	20400	0.6678872108459473	155.58355712890625	0.0	-38.57881164550781	0.667790412902832	-7.450580707946131e-10	47.91963982582092
34	29.35	13.039459906316576	54.0	13.0	29.35	18.656728515625	9.18729627041692	30.91384	-0.5101272	21000	-1.371423363685608	67.56285095214844	0.0	-26.482921600341797	0.6685727834701538	0.0	49.28402876853943
35	41.38461538461539	39.64756091537614	172.0	14.0	41.38461538461539	15.307482096354166	7.791097349967248	27.6676	0.31523716	21600	4.24222469329834	681.5022583007812	0.0	-343.34185791015625	0.6700751185417175	-9.934107980669182e-10	50.6274676322937
36	33.705882352941174	19.595211445169006	76.0	11.0	33.705882352941174	25.556038411458335	12.265007282746852	39.481388	-3.3680806	22200	-3.339447021484375	186.341064453125	0.0	-89.2721939086914	0.6598143577575684	6.45716979885691e-10	52.005783557891846
37	40.642857142857146	22.899180202838124	95.0	11.0	40.642857142857146	20.0561865234375	8.523718439839895	36.703407	0.8923161	22800	0.8096014261245728	157.93849182128906	0.0	-35.33348846435547	0.6654479503631592	-3.874302212381053e-09	53.36614799499512
38	35.0	14.576370886997013	61.0	12.0	35.0	21.329847005208332	9.77923901052633	36.54918	2.662348	23400	-1.4306426048278809	78.16686248779297	0.0	-22.072174072265625	0.6668955683708191	2.4835269396561444e-09	54.85817766189575
39	37.1875	20.32307417075478	79.0	13.0	37.1875	17.983683268229168	7.7716540563018714	28.645573	1.7113912	24000	0.8289138078689575	112.48965454101562	0.0	-14.55108642578125	0.6623364090919495	2.086162576020456e-09	56.25794720649719
40	46.416666666666664	35.38233438579967	134.0	17.0	46.416666666666664	22.539915364583333	10.032202706576125	38.074883	1.8295755	24600	1.5734670162200928	332.7385559082031	0.0	-70.79769897460938	0.6639525890350342	2.4835269396561444e-09	57.61782097816467
41	34.588235294117645	15.33569062853799	75.0	16.0	34.588235294117645	25.171276041666665	9.9800957509393	39.983025	1.1878841	25200	-3.291024684906006	148.6806640625	0.0	-60.42780303955078	0.6597964763641357	1.9371511061905267e-09	59.094414472579956
42	41.357142857142854	19.90192803917096	93.0	21.0	41.357142857142854	19.596145833333335	7.375451522195099	37.10337	1.2362127	25800	0.984971821308136	161.0946807861328	0.0	-63.86845397949219	0.6667994260787964	9.934107980669182e-10	60.68017601966858
43	31.42105263157895	13.176197821903736	66.0	12.0	31.42105263157895	21.204908854166668	10.141397473146062	34.87946	1.272136	26400	-2.4507012367248535	88.49967956542969	0.0	-34.91220474243164	0.6561561822891235	-9.934107980669182e-10	62.16371965408325
44	35.23529411764706	14.550234673163098	75.0	19.0	35.23529411764706	18.438898111979167	7.626230262772908	27.946945	0.42252406	27000	-0.08071871846914291	68.07256317138672	0.0	-4.286533355712891	0.6566150188446045	2.98023217215615e-10	63.607407093048096
45	35.9375	15.98620010352679	62.0	9.0	35.9375	16.214720052083333	8.27112588693341	28.210232	0.24471477	27600	1.0283318758010864	76.13934326171875	0.0	-24.05722427368164	0.6586876511573792	9.934107980669182e-10	64.97629737854004
46	38.666666666666664	16.949598807629144	61.0	11.0	38.666666666666664	17.527731119791667	9.031947421168372	30.535414	2.147224	28200	0.7923718690872192	97.64703369140625	0.0	-22.710548400878906	0.6560702919960022	-2.98023217215615e-10	66.31423306465149
47	32.666666666666664	12.762793677414713	70.0	14.0	32.666666666666664	19.859778645833334	8.157590486907475	29.584328	1.7747531	28800	-1.37881600856781	66.19725799560547	0.0	-18.678512573242188	0.6559382081031799	-1.490116086078075e-10	67.72047305107117
48	43.46153846153846	19.69621392167941	93.0	17.0	43.46153846153846	19.126982421875	7.436068227032572	28.088753	0.68328977	29400	1.360433578491211	125.8149642944336	0.0	-32.915557861328125	0.6553783416748047	-2.9305617932351424e-09	69.06787180900574
49	39.666666666666664	18.93028087097935	81.0	12.0	39.666666666666664	22.64309244791667	10.039043571642338	34.628197	1.2664429	30000	-0.761241614818573	97.98680877685547	0.0	-8.82305908203125	0.6497780680656433	-3.47693762670076e-10	70.42879962921143
50	53.0	20.418351816664607	108.0	25.0	53.0	19.936070963541667	9.526299602394591	33.686966	1.1805638	30600	2.0170960426330566	160.2037811279297	0.0	-56.69090270996094	0.6544285416603088	1.7881394143159923e-09	71.77819561958313
51	52.90909090909091	21.249404654093468	89.0	17.0	52.90909090909091	25.79296875	9.960892932906836	37.8036	1.177624	31200	0.06465469300746918	167.56129455566406	0.0	-64.9046401977539	0.64960116147995	-3.3775966468141405e-09	73.12858533859253
52	44.69230769230769	24.624517243169148	89.0	13.0	44.69230769230769	25.728536783854167	10.47368478218944	38.49072	0.9579462	31800	-1.2254199981689453	154.6156463623047	0.0	-50.80287170410156	0.6490927338600159	-8.940697071579962e-10	74.62018132209778
53	53.09090909090909	31.715941154180722	114.0	21.0	53.09090909090909	22.494244791666667	11.859425642184364	37.337765	1.6336629	32400	1.6879856586456299	237.2615203857422	0.0	-89.37063598632812	0.6534438133239746	-7.947286162490741e-10	75.98852515220642
54	34.64705882352941	14.22070223346469	67.0	12.0	34.64705882352941	25.420789388020832	12.814734561238481	42.98298	3.1351366	33000	-3.567288875579834	134.4197998046875	0.0	-75.67935180664062	0.644260048866272	6.45716979885691e-10	77.39679741859436
