Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
27	-1055.29736328125	199.663662505224	-632.3613	-1350.9395	200.0	-129.252375	0.0014090374301791871	-129.24736	-129.25385	112000	71.13945770263672	47792.41015625	-0.39162445068359375	-1175.9765625	1.3592644929885864	0.006731264293193817	0.04975000396370888	79.0	201.2011435031891
28	-1082.57939453125	212.33302999062582	-821.1993	-1557.2277	200.0	-132.91053125	0.001626226517650161	-132.90567	-132.91243	116000	73.59052276611328	51307.77734375	-0.1405181884765625	-1284.28515625	1.3747782707214355	0.015143736265599728	0.13625000417232513	5.0	208.1670322418213
29	-1092.17177734375	220.53486118979012	-753.5925	-1477.8254	200.0	-136.748359375	0.0012505112474232472	-136.74333	-136.74959	120000	73.8425064086914	52444.12109375	-0.6598129272460938	-1327.6875	1.3755391836166382	0.011096560396254063	0.07825000584125519	79.0	216.1214108467102
30	-992.35556640625	216.90750476873777	-753.0044	-1386.1475	200.0	-140.69509375	0.0013022206750598149	-140.69055	-140.69655	124000	60.704429626464844	38403.08984375	-0.6157875061035156	-878.703125	1.4007110595703125	0.01310261432081461	0.06975000351667404	79.0	224.1800856590271
31	-980.47763671875	192.50359574563797	-621.63446	-1328.0457	200.0	-143.989984375	0.0012103985733141077	-143.98573	-143.99138	128000	59.381072998046875	37102.11328125	-0.44731903076171875	-856.703125	1.4336836338043213	0.008248623460531235	0.055500004440546036	79.0	230.8075897693634
32	-1032.8810546875	212.3498219330546	-751.52655	-1468.9675	200.0	-147.244078125	0.001049542116995846	-147.24083	-147.24522	132000	62.71044158935547	40670.296875	-0.27779388427734375	-960.0703125	1.441590428352356	0.00412024324759841	0.036250002682209015	79.0	237.64405274391174
33	-1017.2509765625	181.9626077659913	-747.93134	-1457.6633	200.0	-150.720875	0.0010165350990299351	-150.71786	-150.72208	136000	59.361873626708984	37297.38671875	-0.534454345703125	-842.15234375	1.4515771865844727	0.010053501464426517	0.06300000101327896	79.0	244.69742107391357
34	-1109.96787109375	290.3868970873169	-615.1398	-1593.9784	200.0	-154.0423125	0.001021635867148815	-154.03867	-154.04324	140000	69.41805267333984	52888.91015625	-0.5740280151367188	-1210.78125	1.4668347835540771	0.01036978978663683	0.06225000321865082	79.0	251.04488062858582
35	-1079.02685546875	226.925986006451	-753.1548	-1533.3245	200.0	-158.01075	0.0009609002977434857	-158.00682	-158.0117	144000	63.67753982543945	43262.2109375	-0.4575462341308594	-1023.3046875	1.4832134246826172	0.009909512475132942	0.057750001549720764	79.0	257.4031112194061
36	-975.00087890625	174.07229101726674	-743.5557	-1392.297	200.0	-161.751234375	0.0009753097605307747	-161.74829	-161.75238	148000	50.52947235107422	29614.8203125	-0.4195098876953125	-606.18359375	1.504042148590088	0.00925134215503931	0.054750002920627594	79.0	263.7129602432251
