Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossQ	Time
1	24.5	11.026483271348727	56.0	12.0	25.8	6.112282765902733	33.0	18.0	24.5	25.8	599	2.4378009033203125	1.119122968338028	4.775086	-0.24572235	0.06361028671264649	3.3869893550872803
2	28.35	20.33291642225421	812	48.75	39.868795233030724	143.0	10.0	39.2	34.87348507014319	101.0	12.0	48.75	39.2	1199	7.08411865234375	1.7894915106075409	10.867253	1.420193	0.17034848533	57.0	39.54743986657038	13	64.0	42.29000407240988	137.0	16.0	165.0	20.199009876724155	196.0	139.0	64.0	165.0	1799	12.712420247395833	2.1762387778226358	19.765724	1.0082197	0.2392543024	166.0	18.672618098881223	184	198.33333333333334	2.3570226938684335	200.0	195.0	200.0	0.0	200.0	200.0	198.33333333333334	200.0	2399	18.384475911458335	2.3827105510977407	24.765	172.25	31.641547054466223	200.0	123.0	161.0	19.02629755	180.33333333333334	18.263503004412584	200.0	156.0	200.0	0.0	200.0	200.0	180.33333333333334	200.0	2999	23.965162760416668	1.8989177636	178.33333333333334	25.849994364774126	200.0	142.0	117.8	0.748336	158.75	71.44709581221619	200.0	35.0	200.0	0.0	200.0	200.0	158.75	200.0	3599	28.93313151041667	1.6509614859605297	34.710762	5.6110106	0.1558794657389323	37.006948947906494
7	200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	4199	33.39948893229167	1.4306774521202215	38.72815	29.510666	0.0688397471110026	44.59220004081726
8	200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	4799	37.404228515625	1.4341159074051149	42.715866	30.426672	0.06839398701985677	50.75378394126892
9	200.0	0.0	200.0	200.0	183.0	20.842264752180842	200.0	156.0	200.0	183.0	5399	41.08798828125	1.2284288232782057	46.469715	30.292536	0.035436004002888995	58.50204610824585
10	200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	5999	44.374996744791666	1.0178392829061094	48.602623	41.66767	0.015165055592854818	65.45747637748718
11	153.5	80.5403625519528	200.0	14.0	200.0	0.0	200.0	200.0	153.5	200.0	6599	47.578326822916665	0.929560839148458	49.721092	38.735855	0.024853359858194986	72.09384107589722
12	200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	7199	50.78071614583333	1.0057374268713957	53.679005	37.805317	0.03192058245340983	78.36312532424927
13	200.0	0.0	200.0	200.0	172.8	23.48105640224956	200.0	142.0	200.0	172.8	7799	53.8326953125	0.9458820168041793	56.443108	40.610336	0.03110355059305827	84.4937973022461
14	163.75	28.726077003308337	190.0	121.0	105.2	38.342665021324486	139.0	32.0	163.75	105.2	8399	56.766764322916664	1.1563216123656768	59.903706	39.124817	0.05753104527791341	90.38067650794983
15	169.0	16.08311744241976	191.0	153.0	162.0	14.25482374496437	183.0	145.0	169.0	162.0	8999	59.30103515625	1.895261832930897	62.389503	39.935455	0.13043551127115885	96.34605836868286
