Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossQ	Time
1	20.0	9.09945053286186	45.0	8.0	27.2	16.0549053361134	59.0	17.0	20.0	27.2	599	2.4421762084960936	1.101999892385377	4.925597	0.002897352	0.06842427253723145	2.9962480068206787
2	32.625	23.782543493074915	96.0	11.0	26.2	23.446960590607475	73.0	13.0	32.625	26.2	1199	7.047805989583333	1.7310739512625055	10.701108	1.6272608	0.18981983184814452	6.55054497718811
3	71.88888888888889	45.23136893916777	166.0	14.0	153.2	33.534459305876695	195.0	93.0	71.88888888888889	153.2	1799	12.5531103515625	2.1626072498693563	17.090727	1.8126131	0.29068328857421877	10.729399681091309
4	132.5	8.616843969807043	143.0	124.0	135.2	33.81360615103778	200.0	106.0	132.5	135.2	2399	18.060403645833333	2.3620609366588288	23.959347	0.58837306	0.3537890625	15.066729545593262
5	139.5	21.277922830953212	168.0	118.0	138.2	19.145756965072575	176.0	123.0	139.5	138.2	2999	23.285983072916668	1.897458380911599	28.755928	8.08337	0.2848566182454427	19.346499919891357
6	117.16666666666667	27.9488610615069	163.0	81.0	126.8	8.95321191875348	139.0	113.0	117.16666666666667	126.8	3599	28.031471354166666	1.9187741753363003	34.308586	13.209749	0.22750859578450522	23.611066579818726
7	141.5	8.52936105461599	149.0	127.0	148.6	10.947145300687984	162.0	139.0	141.5	148.6	4199	32.853541666666665	2.3942052609123157	40.245632	19.808647	0.25254470825195313	28.214796781539917
8	137.0	11.423659658795863	152.0	122.0	187.6	10.965399684205542	200.0	172.0	137.0	187.6	4799	37.80569661458333	2.3150223785702915	43.06389	21.428452	0.2697292327880859	32.8355553150177
9	152.5	16.77050983124842	172.0	133.0	168.4	17.51113973013857	197.0	144.0	152.5	168.4	5399	42.237154947916665	1.636592141582815	46.8084	37.879646	0.3417326863606771	37.41337299346924
10	113.5	33.26534733522759	146.0	42.0	168.0	23.82435728409058	199.0	132.0	113.5	168.0	5999	45.532239583333336	2.600318615293454	50.077007	19.523985	0.30737693786621095	41.862149477005005
11	115.6	5.238320574516822	125.0	110.0	112.2	6.584830636154277	118.0	100.0	115.6	112.2	6599	48.56399739583333	2.984402541321434	53.474808	16.36991	0.3445974985758464	46.21653127670288
12	73.625	45.229795212890366	116.0	12.0	105.2	3.429285728887513	110.0	100.0	73.625	105.2	7199	51.457841796875	3.471833276827004	56.14493	15.963471	0.38704114278157553	50.356544494628906
